part_id,part_name,part_category,unit_cost_eur,standard_lead_time_days,part_status,created_at,updated_at
PART-000001,Bearing Assembly 0001,BEARING,11577.65,36,ACTIVE,2021-08-19T01:29:23Z,2025-10-30T07:32:06Z
PART-000002,Seal Assembly 0002,SEAL,4954.95,17,ACTIVE,2023-08-12T06:51:18Z,2024-03-21T01:12:06Z
PART-000003,Lubrication Assembly 0003,LUBRICATION,219.65,13,ACTIVE,2021-10-28T07:36:30Z,2026-02-20T08:32:20Z
PART-000004,Electrical Assembly 0004,ELECTRICAL,5821.17,28,ACTIVE,2021-09-02T22:05:57Z,2025-10-04T00:02:29Z
PART-000005,Control Assembly 0005,CONTROL,12915.96,15,ACTIVE,2021-12-29T21:16:30Z,2022-02-09T16:16:26Z
PART-000006,Valve Assembly 0006,VALVE,11922.56,37,ACTIVE,2023-02-15T21:43:04Z,2026-07-04T08:39:29Z
PART-000007,Filter Assembly 0007,FILTER,1706.67,22,ACTIVE,2023-03-31T06:36:14Z,2026-01-15T13:35:55Z
PART-000008,Fastener Assembly 0008,FASTENER,276.45,6,ACTIVE,2022-05-11T23:36:48Z,2024-04-14T04:38:28Z
PART-000009,Other Assembly 0009,OTHER,2156.33,23,ACTIVE,2023-10-09T21:20:42Z,2024-05-03T08:38:15Z
PART-000010,Bearing Assembly 0010,BEARING,8538.57,37,ACTIVE,2023-04-05T19:10:04Z,2025-05-11T10:36:34Z
