case_id,customer_id,site_id,contract_id,asset_id,case_type,priority,fault_category,case_status,created_at,response_due_at,resolution_due_at,first_response_at,resolved_at,closed_at,updated_at
CASE-000001,CUST-000139,SITE-000139,CONT-000180,,GENERAL_ENQUIRY,LOW,,CLOSED,2024-04-07T20:13:27Z,2024-04-08T04:13:27Z,2024-04-10T20:13:27Z,,2024-04-09T07:44:00Z,2024-04-10T18:10:57Z,2024-04-12T07:53:43Z
CASE-000002,CUST-000041,SITE-000191,CONT-000089,ASSET-000344,TECHNICAL_FAULT,MEDIUM,ELECTRICAL,WAITING_PARTS,2024-10-31T10:43:10Z,2024-10-31T16:43:10Z,2024-11-02T16:43:10Z,2024-10-31T16:50:20Z,,,2024-11-01T08:06:30Z
CASE-000003,CUST-000043,SITE-000193,,ASSET-000551,MAINTENANCE_REQUEST,HIGH,OTHER,CLOSED,2025-01-13T01:33:49Z,2025-01-13T11:33:49Z,2025-01-15T20:33:49Z,2025-01-13T05:38:40Z,2025-01-15T11:45:48Z,2025-01-16T16:33:40Z,2025-01-17T21:25:10Z
CASE-000004,CUST-000137,SITE-000137,,ASSET-000876,TECHNICAL_FAULT,MEDIUM,PRESSURE,CLOSED,2025-04-11T15:49:49Z,2025-04-12T09:49:49Z,2025-04-16T21:49:49Z,2025-04-12T12:50:26Z,2025-04-17T04:06:43Z,2025-04-18T06:42:50Z,2025-04-18T11:43:12Z
CASE-000005,CUST-000073,SITE-000223,,ASSET-000330,TECHNICAL_FAULT,LOW,VIBRATION,CLOSED,2025-11-25T02:40:29Z,2025-11-26T02:40:29Z,2025-12-02T02:40:29Z,2025-11-25T07:14:24Z,2025-11-29T18:02:19Z,2025-12-02T03:19:04Z,2025-12-03T07:17:28Z
CASE-000006,CUST-000018,SITE-000168,,ASSET-000304,TECHNICAL_FAULT,HIGH,VIBRATION,CLOSED,2025-04-05T23:16:07Z,2025-04-06T09:16:07Z,2025-04-08T18:16:07Z,2025-04-06T10:35:48Z,2025-04-07T19:13:27Z,2025-04-09T07:07:09Z,2025-04-09T13:56:32Z
CASE-000007,CUST-000096,SITE-000096,,ASSET-000913,TECHNICAL_FAULT,MEDIUM,BEARING,CLOSED,2025-05-09T09:24:36Z,2025-05-10T03:24:36Z,2025-05-14T15:24:36Z,2025-05-09T21:45:36Z,2025-05-11T16:09:47Z,2025-05-13T23:16:27Z,2025-05-15T01:56:47Z
CASE-000008,CUST-000052,SITE-000052,CONT-000045,ASSET-000477,TECHNICAL_FAULT,MEDIUM,PRESSURE,CLOSED,2023-12-17T08:25:50Z,2023-12-17T10:25:50Z,2023-12-18T02:25:50Z,2023-12-17T10:39:42Z,2023-12-21T14:44:32Z,2023-12-23T01:22:32Z,2023-12-24T20:34:57Z
CASE-000009,CUST-000070,SITE-000070,CONT-000353,ASSET-000034,TECHNICAL_FAULT,MEDIUM,OVERHEATING,IN_PROGRESS,2026-07-26T08:45:51Z,2026-07-26T14:45:51Z,2026-07-28T14:45:51Z,2026-07-26T17:17:58Z,,,2026-07-26T22:02:55Z
CASE-000010,CUST-000006,SITE-000006,CONT-000074,ASSET-000681,MAINTENANCE_REQUEST,HIGH,LUBRICATION,CLOSED,2024-04-03T14:06:18Z,2024-04-03T15:06:18Z,2024-04-04T00:06:18Z,2024-04-03T14:39:13Z,2024-04-06T10:22:29Z,2024-04-06T18:42:03Z,2024-04-08T11:29:10Z
