customer_id,customer_name,industry,customer_region,customer_status,created_at,updated_at
CUST-000001,Summit Engineering 001,ENERGY,EAST,ACTIVE,2021-02-20T14:20:29Z,2023-03-11T20:16:35Z
CUST-000002,Atlas Industrial Systems 002,ENERGY,SOUTH,ACTIVE,2022-02-15T15:34:36Z,2024-12-07T17:18:48Z
CUST-000003,Vistula Energy 003,UTILITIES,CENTRAL,ACTIVE,2023-01-15T19:02:07Z,2025-06-23T09:30:02Z
CUST-000004,Aurora Materials 004,ENERGY,NORTH,ACTIVE,2020-12-30T22:42:49Z,2024-08-10T00:21:15Z
CUST-000005,Nordic Manufacturing 005,MINING,CENTRAL,ACTIVE,2020-11-05T08:12:17Z,2026-05-18T02:52:44Z
CUST-000006,Summit Energy 006,UTILITIES,SOUTH,ACTIVE,2022-08-17T23:32:45Z,2023-04-28T09:12:49Z
CUST-000007,Baltic Industrial Systems 007,MINING,NORTH,ACTIVE,2021-08-07T19:16:23Z,2022-03-24T23:17:19Z
CUST-000008,Danube Process Industries 008,UTILITIES,EAST,ACTIVE,2023-01-17T13:30:31Z,2024-09-08T16:24:30Z
CUST-000009,Baltic Resources 009,CHEMICALS,SOUTH,ACTIVE,2020-08-02T00:19:26Z,2022-08-08T20:27:20Z
CUST-000010,Baltic Engineering 010,MINING,EAST,ACTIVE,2020-10-09T07:49:25Z,2022-12-03T08:24:25Z
