alert_id,asset_id,related_case_id,alert_type,severity,alert_status,raised_at,acknowledged_at,cleared_at,measured_value,threshold_value,measurement_unit
ALERT-000001,ASSET-000123,,ELECTRICAL,WARNING,CLEARED,2026-01-07T11:25:52Z,2026-01-08T15:52:04Z,2026-01-12T06:26:57Z,70.979470,58.000000,A
ALERT-000002,ASSET-000843,,TEMPERATURE,INFO,CLEARED,2023-09-19T22:49:52Z,2023-09-20T18:56:44Z,2023-09-23T10:17:00Z,72.976640,95.000000,degC
ALERT-000003,ASSET-000809,CASE-004994,TEMPERATURE,CRITICAL,CLEARED,2023-06-21T17:47:59Z,2023-06-21T21:10:00Z,2023-06-25T14:52:12Z,148.597291,95.000000,degC
ALERT-000004,ASSET-000890,,VIBRATION,INFO,CLEARED,2023-03-11T05:59:02Z,2023-03-12T09:02:12Z,2023-03-13T09:32:47Z,5.655209,7.100000,mm/s
ALERT-000005,ASSET-000988,,ELECTRICAL,WARNING,CLEARED,2023-08-18T20:22:14Z,2023-08-20T00:17:18Z,2023-08-24T14:23:23Z,71.428035,58.000000,A
ALERT-000006,ASSET-000483,,PRESSURE,WARNING,CLEARED,2025-02-14T13:08:26Z,2025-02-14T18:46:02Z,2025-02-19T14:08:13Z,21.261751,18.000000,bar
ALERT-000007,ASSET-000412,CASE-002265,LUBRICATION,WARNING,CLEARED,2025-10-29T17:11:20Z,2025-10-30T04:50:46Z,2025-10-31T11:36:04Z,2.956975,2.400000,bar
ALERT-000008,ASSET-000454,,TEMPERATURE,CRITICAL,ACKNOWLEDGED,2026-03-05T15:27:09Z,2026-03-05T22:22:27Z,,145.567109,95.000000,degC
ALERT-000009,ASSET-000235,CASE-006919,TEMPERATURE,WARNING,CLEARED,2024-07-11T22:03:21Z,2024-07-12T14:32:29Z,2024-07-16T22:51:14Z,99.191732,95.000000,degC
ALERT-000010,ASSET-000243,CASE-000678,PRESSURE,INFO,CLEARED,2024-08-10T16:52:44Z,2024-08-12T02:22:53Z,2024-08-15T16:40:43Z,15.373765,18.000000,bar
