asset_id,site_id,asset_name,asset_type,manufacturer,model,serial_number,installation_date,criticality,asset_status,created_at,updated_at
ASSET-000001,SITE-000211,Compressor 0001,COMPRESSOR,Apex Dynamics,APE-467,SN-00000001,2009-10-22,LOW,ACTIVE,2022-07-02T14:00:00Z,2025-06-23T18:17:13Z
ASSET-000002,SITE-000092,Steam Turbine 0002,STEAM_TURBINE,Vector Works,VEC-903,SN-00000002,2017-09-15,HIGH,ACTIVE,2022-11-16T06:00:00Z,2024-11-11T21:32:12Z
ASSET-000003,SITE-000241,Compressor 0003,COMPRESSOR,Northstar Engineering,NOR-460,SN-00000003,2022-10-28,HIGH,OUT_OF_SERVICE,2023-10-24T13:00:00Z,2026-07-13T12:59:09Z
ASSET-000004,SITE-000246,Gas Turbine 0004,GAS_TURBINE,Northstar Engineering,NOR-144,SN-00000004,2012-05-06,HIGH,ACTIVE,2023-07-29T04:00:00Z,2024-10-05T15:18:31Z
ASSET-000005,SITE-000224,Compressor 0005,COMPRESSOR,Helix Machinery,HEL-546,SN-00000005,2023-06-01,MEDIUM,ACTIVE,2023-07-17T18:00:00Z,2024-12-19T18:35:53Z
ASSET-000006,SITE-000120,Gas Turbine 0006,GAS_TURBINE,Apex Dynamics,APE-411,SN-00000006,2006-06-17,MEDIUM,ACTIVE,2022-04-09T06:00:00Z,2026-07-30T11:43:49Z
ASSET-000007,SITE-000103,Industrial Pump 0007,INDUSTRIAL_PUMP,Helix Machinery,HEL-340,SN-00000007,2019-01-02,MEDIUM,ACTIVE,2022-05-31T14:00:00Z,2024-12-06T03:43:04Z
ASSET-000008,SITE-000241,Industrial Pump 0008,INDUSTRIAL_PUMP,Northstar Engineering,NOR-323,SN-00000008,2004-06-21,MEDIUM,ACTIVE,2023-01-30T15:00:00Z,2025-09-08T11:44:50Z
ASSET-000009,SITE-000109,Compressor 0009,COMPRESSOR,Helix Machinery,HEL-980,SN-00000009,2015-01-30,MEDIUM,ACTIVE,2022-08-11T13:00:00Z,2022-09-23T21:22:16Z
ASSET-000010,SITE-000209,Gas Turbine 0010,GAS_TURBINE,Helix Machinery,HEL-778,SN-00000010,2023-01-10,MEDIUM,ACTIVE,2023-06-07T23:00:00Z,2025-05-12T14:04:03Z
