service_order_id,part_id,line_number,quantity,requested_at,required_at,delivered_at,unit_cost_eur
SORD-000002,PART-000225,1,1,2026-03-20T06:21:05Z,2026-03-22T06:21:05Z,2026-03-20T18:21:05Z,758.15
SORD-000004,PART-000180,1,2,2025-10-25T01:46:13Z,2025-10-30T01:46:13Z,2025-11-06T21:46:13Z,1346.56
SORD-000006,PART-000224,1,2,2026-02-26T04:09:39Z,2026-03-01T04:09:39Z,2026-02-28T01:09:39Z,445.08
SORD-000007,PART-000071,1,3,2025-01-26T19:48:27Z,2025-01-31T19:48:27Z,2025-02-03T05:48:27Z,335.89
SORD-000008,PART-000269,1,2,2024-06-20T03:43:50Z,2024-06-22T03:43:50Z,2024-06-21T21:43:50Z,307.39
SORD-000008,PART-000170,2,2,2024-06-20T16:03:13Z,2024-06-23T16:03:13Z,2024-07-02T18:03:13Z,74.91
SORD-000008,PART-000206,3,3,2024-06-20T00:38:24Z,2024-06-24T00:38:24Z,2024-06-23T19:38:24Z,226.57
SORD-000008,PART-000233,4,4,2024-06-20T08:35:22Z,2024-06-23T08:35:22Z,2024-06-22T11:35:22Z,63.21
SORD-000008,PART-000278,5,4,2024-06-20T09:17:08Z,2024-06-24T09:17:08Z,2024-06-23T19:17:08Z,446.49
SORD-000009,PART-000035,1,1,2025-07-27T02:00:19Z,2025-07-28T02:00:19Z,2025-08-02T12:00:19Z,344.02
