service_cost_id,service_order_id,cost_type,cost_amount_eur,cost_recorded_at
COST-000001,SORD-000001,LABOUR,538.20,2026-06-09T01:27:58Z
COST-000002,SORD-000001,TRAVEL,467.81,2026-06-09T01:27:58Z
COST-000003,SORD-000002,LABOUR,305.89,2026-03-20T08:07:51Z
COST-000004,SORD-000002,TRAVEL,1131.14,2026-03-20T08:07:51Z
COST-000005,SORD-000002,PART,758.15,2026-03-20T08:07:51Z
COST-000006,SORD-000003,LABOUR,479.53,2026-03-06T22:58:45Z
COST-000007,SORD-000003,TRAVEL,751.21,2026-03-06T22:58:45Z
COST-000008,SORD-000004,LABOUR,423.21,2025-10-25T18:41:23Z
COST-000009,SORD-000004,TRAVEL,512.33,2025-10-25T18:41:23Z
COST-000010,SORD-000004,PART,2693.12,2025-10-25T18:41:23Z
