service_order_id,case_id,asset_id,lead_technician_id,order_type,order_status,created_at,scheduled_start_at,actual_start_at,completed_at,downtime_start_at,downtime_end_at,resolution_code,created_by_source
SORD-000001,CASE-003139,ASSET-000893,TECH-000001,CORRECTIVE_REPAIR,DISPATCHED,2026-06-06T13:07:45Z,2026-06-09T01:27:58Z,,,,,,CRM_CASE
SORD-000002,CASE-007315,ASSET-000985,TECH-000040,PREVENTIVE_MAINTENANCE,COMPLETED,2026-03-20T01:16:02Z,2026-03-20T12:02:22Z,2026-03-20T07:37:51Z,2026-03-20T08:07:51Z,,,FIXED,CRM_CASE
SORD-000003,CASE-000436,ASSET-000933,TECH-000038,PREVENTIVE_MAINTENANCE,DISPATCHED,2026-03-05T14:50:22Z,2026-03-06T22:58:45Z,,,,,,CRM_CASE
SORD-000004,CASE-004128,ASSET-000378,TECH-000038,CORRECTIVE_REPAIR,COMPLETED,2025-10-24T10:32:51Z,2025-10-26T09:32:46Z,2025-10-25T18:11:23Z,2025-10-25T18:41:23Z,2025-10-25T18:11:23Z,2025-10-25T18:41:23Z,FIXED,CRM_CASE
SORD-000005,CASE-006421,ASSET-000673,TECH-000099,PREVENTIVE_MAINTENANCE,PLANNED,2024-05-16T14:10:00Z,2024-05-17T06:45:49Z,,,,,,CRM_CASE
SORD-000006,CASE-002889,ASSET-000113,TECH-000100,INSPECTION,COMPLETED,2026-02-24T13:26:51Z,2026-02-26T14:34:28Z,2026-02-27T00:30:23Z,2026-03-02T00:02:09Z,,,ADJUSTED,CRM_CASE
SORD-000007,,ASSET-000870,TECH-000034,PREVENTIVE_MAINTENANCE,COMPLETED,2025-01-25T01:23:47Z,2025-01-28T01:49:09Z,2025-01-28T00:53:04Z,2025-01-30T01:45:28Z,,,FOLLOW_UP_REQUIRED,PLANNED_MAINTENANCE
SORD-000008,CASE-003789,ASSET-000093,TECH-000095,INSPECTION,COMPLETED,2024-06-19T22:19:23Z,2024-06-23T08:53:23Z,2024-06-20T18:30:13Z,2024-06-20T19:00:13Z,,,REPLACED_COMPONENT,CRM_CASE
SORD-000009,CASE-005271,ASSET-000010,TECH-000055,INSPECTION,COMPLETED,2025-07-26T10:19:59Z,2025-07-27T03:18:32Z,2025-07-27T19:55:50Z,2025-07-28T09:15:19Z,,,FOLLOW_UP_REQUIRED,CRM_CASE
SORD-000010,CASE-001700,ASSET-000569,TECH-000013,CORRECTIVE_REPAIR,COMPLETED,2025-08-15T04:20:14Z,2025-08-15T17:12:17Z,2025-08-15T17:28:33Z,2025-08-17T15:31:50Z,2025-08-15T17:28:33Z,2025-08-17T15:31:50Z,NO_FAULT_FOUND,CRM_CASE
