contract_id,customer_id,site_id,contract_type,start_date,end_date,response_sla_hours,resolution_sla_hours,contract_status,created_at,updated_at
CONT-000001,CUST-000062,SITE-000062,PREMIUM,2022-07-11,2024-01-25,2,24,EXPIRED,2022-04-14T00:00:00Z,2022-06-15T16:47:15Z
CONT-000002,CUST-000046,SITE-000196,PREMIUM,2022-06-01,2024-07-27,2,24,EXPIRED,2022-03-02T00:00:00Z,2022-04-02T20:08:30Z
CONT-000003,CUST-000029,SITE-000029,STANDARD,2022-02-24,2023-11-04,8,72,EXPIRED,2021-12-20T00:00:00Z,2025-11-23T06:28:33Z
CONT-000004,CUST-000100,SITE-000100,BASIC,2023-06-11,2025-03-30,24,168,EXPIRED,2023-05-09T00:00:00Z,2024-03-09T06:29:27Z
CONT-000005,CUST-000033,SITE-000033,BASIC,2023-12-23,2025-08-18,24,168,EXPIRED,2023-10-07T00:00:00Z,2025-03-04T15:47:07Z
CONT-000006,CUST-000046,SITE-000046,STANDARD,2022-07-01,2024-01-28,8,72,EXPIRED,2022-03-08T00:00:00Z,2022-04-04T22:13:19Z
CONT-000007,CUST-000031,SITE-000031,BASIC,2023-05-18,2025-01-05,24,168,EXPIRED,2023-04-17T00:00:00Z,2024-02-29T18:04:09Z
CONT-000008,CUST-000070,SITE-000220,BASIC,2022-09-03,2024-10-09,24,168,EXPIRED,2022-06-24T00:00:00Z,2023-08-14T13:28:18Z
CONT-000009,CUST-000006,SITE-000156,BASIC,2023-11-20,2025-08-11,24,168,EXPIRED,2023-09-30T00:00:00Z,2024-05-04T07:18:23Z
CONT-000010,CUST-000014,SITE-000014,STANDARD,2022-11-06,2024-06-18,8,72,EXPIRED,2022-10-13T00:00:00Z,2024-11-09T20:21:04Z
