site_id,customer_id,site_name,country_code,region,timezone,site_status,created_at,updated_at
SITE-000062,CUST-000062,NL Station 062,NL,SOUTH,Europe/Amsterdam,ACTIVE,2023-07-25T12:19:14Z,2026-05-31T21:35:51Z
SITE-000196,CUST-000046,SE Works 196,SE,WEST,Europe/Stockholm,ACTIVE,2022-05-25T05:10:48Z,2025-03-05T21:42:31Z
SITE-000029,CUST-000029,NL Works 029,NL,EAST,Europe/Amsterdam,ACTIVE,2023-05-04T10:43:44Z,2025-01-15T21:13:49Z
SITE-000100,CUST-000100,NL Service Base 100,NL,CENTRAL,Europe/Amsterdam,ACTIVE,2023-03-18T01:07:32Z,2025-01-26T17:03:36Z
SITE-000033,CUST-000033,DE Plant 033,DE,WEST,Europe/Berlin,ACTIVE,2022-09-16T15:45:08Z,2026-05-14T13:55:20Z
SITE-000046,CUST-000046,DK Station 046,DK,WEST,Europe/Copenhagen,ACTIVE,2022-12-18T06:38:19Z,2023-12-12T13:45:43Z
SITE-000031,CUST-000031,FI Service Base 031,FI,NORTH,Europe/Helsinki,ACTIVE,2021-08-06T15:57:32Z,2021-08-30T11:11:40Z
SITE-000220,CUST-000070,NL Station 220,NL,CENTRAL,Europe/Amsterdam,ACTIVE,2022-08-25T11:20:13Z,2023-07-18T07:36:58Z
SITE-000156,CUST-000006,DE Terminal 156,DE,SOUTH,Europe/Berlin,ACTIVE,2023-04-12T14:04:23Z,2024-12-31T10:03:24Z
SITE-000014,CUST-000014,SE Terminal 014,SE,CENTRAL,Europe/Stockholm,ACTIVE,2021-07-22T07:22:56Z,2025-01-25T11:32:35Z
